species,subspecies,date_collected,bird_id,lon_dd,lat_dd,location,source,inrange,dist_km,sex,type,unit,mean_l,mean_r,sd_l,sd_r,fa_left_right,fa_ratio,fa_abs_mm,decade,biome,geometry,file_name,FC_buffer,FC_percentage.value,to_remove,FC_proportion,log_dist
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,144.00666666666666,145.73,0.02081665999465832,0.6323764701505034,-1.7233333333333292,0.9881744779157804,1.7233333333333292,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,1500,74.14012738853502,0,0.7414012738853502,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,100,77.14285714285715,0,0.7714285714285716,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,200,71.73913043478261,0,0.717391304347826,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,300,73.01587301587303,0,0.7301587301587302,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,400,68.33631484794275,0,0.6833631484794275,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,500,61.46788990825688,0,0.6146788990825688,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,600,62.05250596658711,0,0.6205250596658711,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,700,65.26315789473685,0,0.6526315789473685,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,800,66.35346756152126,0,0.6635346756152125,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,900,67.6470588235294,0,0.676470588235294,5.989925959222873
